--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_stddev                      0.004 us        0.005 us           50 bytes=302.046u
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_cv                           0.04 %          0.04 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_mean                        16.2 us         16.6 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_median                      16.2 us         16.7 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_stddev                     0.069 us        0.068 us           50 bytes=2.41637m
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_cv                          0.43 %          0.41 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_mean                        113 us          113 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_median                      113 us          113 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_stddev                    0.346 us        0.346 us           50 bytes=0.0193309
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_cv                         0.31 %          0.31 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_mean                       868 us          866 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_median                     867 us          865 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_stddev                    3.13 us         2.57 us           50 bytes=0.154647
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_cv                        0.36 %          0.30 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_mean                    12042 us        12009 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_median                  12043 us        12009 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_stddev                   23.4 us         23.2 us           50 bytes=1.23718
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_cv                       0.19 %          0.19 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_mean                    24121 us        24023 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_median                  24127 us        24027 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_stddev                   52.0 us         52.0 us           50 bytes=2.47436
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_cv                       0.22 %          0.22 %            50 bytes=0.00%
benchmark_lock_unlock_put/1/manual_time_mean                                      5.27 us         5.81 us           50 bytes_per_second=1.45606Mi/s
benchmark_lock_unlock_put/1/manual_time_median                                    5.14 us         5.69 us           50 bytes_per_second=1.48339Mi/s
benchmark_lock_unlock_put/1/manual_time_stddev                                   0.398 us        0.404 us           50 bytes_per_second=108.752Ki/s
benchmark_lock_unlock_put/1/manual_time_cv                                        7.55 %          6.94 %            50 bytes_per_second=7.29%
benchmark_lock_unlock_put/8/manual_time_mean                                      6.15 us         6.70 us           50 bytes_per_second=9.94127Mi/s
benchmark_lock_unlock_put/8/manual_time_median                                    6.18 us         6.74 us           50 bytes_per_second=9.87155Mi/s
benchmark_lock_unlock_put/8/manual_time_stddev                                   0.277 us        0.276 us           50 bytes_per_second=459.243Ki/s
benchmark_lock_unlock_put/8/manual_time_cv                                        4.51 %          4.12 %            50 bytes_per_second=4.51%
benchmark_lock_unlock_put/64/manual_time_mean                                     7.82 us         8.36 us           50 bytes_per_second=62.5725Mi/s
benchmark_lock_unlock_put/64/manual_time_median                                   7.83 us         8.38 us           50 bytes_per_second=62.3449Mi/s
benchmark_lock_unlock_put/64/manual_time_stddev                                  0.356 us        0.356 us           50 bytes_per_second=2.81709Mi/s
benchmark_lock_unlock_put/64/manual_time_cv                                       4.56 %          4.25 %            50 bytes_per_second=4.50%
benchmark_lock_unlock_put/512/manual_time_mean                                    10.2 us         10.7 us           50 bytes_per_second=384.352Mi/s
benchmark_lock_unlock_put/512/manual_time_median                                  10.3 us         10.8 us           50 bytes_per_second=379.317Mi/s
benchmark_lock_unlock_put/512/manual_time_stddev                                 0.562 us        0.561 us           50 bytes_per_second=21.3988Mi/s
benchmark_lock_unlock_put/512/manual_time_cv                                      5.51 %          5.23 %            50 bytes_per_second=5.57%
benchmark_lock_unlock_put/4096/manual_time_mean                                   12.6 us         13.2 us           50 bytes_per_second=2.42466Gi/s
benchmark_lock_unlock_put/4096/manual_time_median                                 12.5 us         13.1 us           50 bytes_per_second=2.43356Gi/s
