--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_median                       4.67 us         5.82 us           50 bytes=65.536k
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_stddev                      0.020 us        0.017 us           50 bytes=302.046u
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_cv                           0.42 %          0.30 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_mean                        18.8 us         19.8 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_median                      18.8 us         19.7 us           50 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_stddev                     0.090 us        0.092 us           50 bytes=2.41637m
benchmark_osu_latency_MPI_sendrecv/262144/manual_time_cv                          0.48 %          0.47 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_mean                        126 us          126 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_median                      126 us          126 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_stddev                    0.509 us        0.425 us           50 bytes=0.0193309
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time_cv                         0.41 %          0.34 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_mean                      1207 us         1202 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_median                    1208 us         1203 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_stddev                    8.71 us         8.21 us           50 bytes=0.154647
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time_cv                        0.72 %          0.68 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_mean                    13723 us        13658 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_median                  13716 us        13655 us           50 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_stddev                   64.0 us         59.7 us           50 bytes=1.23718
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time_cv                       0.47 %          0.44 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_mean                    28037 us        27893 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_median                  28017 us        27886 us           50 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_stddev                    146 us          115 us           50 bytes=2.47436
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time_cv                       0.52 %          0.41 %            50 bytes=0.00%
benchmark_lock_unlock_put/1/manual_time_mean                                      6.56 us         6.90 us           50 bytes_per_second=1.16295Mi/s
benchmark_lock_unlock_put/1/manual_time_median                                    6.56 us         6.90 us           50 bytes_per_second=1.16385Mi/s
benchmark_lock_unlock_put/1/manual_time_stddev                                   0.025 us        0.021 us           50 bytes_per_second=4.37767Ki/s
benchmark_lock_unlock_put/1/manual_time_cv                                        0.37 %          0.30 %            50 bytes_per_second=0.37%
benchmark_lock_unlock_put/8/manual_time_mean                                      6.56 us         6.89 us           50 bytes_per_second=9.30773Mi/s
benchmark_lock_unlock_put/8/manual_time_median                                    6.55 us         6.89 us           50 bytes_per_second=9.31492Mi/s
benchmark_lock_unlock_put/8/manual_time_stddev                                   0.023 us        0.022 us           50 bytes_per_second=32.6567Ki/s
benchmark_lock_unlock_put/8/manual_time_cv                                        0.35 %          0.32 %            50 bytes_per_second=0.34%
benchmark_lock_unlock_put/64/manual_time_mean                                     6.60 us         6.93 us           50 bytes_per_second=74.0148Mi/s
benchmark_lock_unlock_put/64/manual_time_median                                   6.59 us         6.93 us           50 bytes_per_second=74.1162Mi/s
benchmark_lock_unlock_put/64/manual_time_stddev                                  0.035 us        0.028 us           50 bytes_per_second=392.358Ki/s
benchmark_lock_unlock_put/64/manual_time_cv                                       0.53 %          0.41 %            50 bytes_per_second=0.52%
benchmark_lock_unlock_put/512/manual_time_mean                                    6.68 us         7.02 us           50 bytes_per_second=585.196Mi/s
benchmark_lock_unlock_put/512/manual_time_median                                  6.67 us         7.02 us           50 bytes_per_second=585.632Mi/s
benchmark_lock_unlock_put/512/manual_time_stddev                                 0.025 us        0.023 us           50 bytes_per_second=2.17276Mi/s
benchmark_lock_unlock_put/512/manual_time_cv                                      0.38 %          0.32 %            50 bytes_per_second=0.37%
benchmark_lock_unlock_put/4096/manual_time_mean                                   7.88 us         8.25 us           50 bytes_per_second=3.87507Gi/s
benchmark_lock_unlock_put/4096/manual_time_median                                 7.87 us         8.24 us           50 bytes_per_second=3.87644Gi/s
benchmark_lock_unlock_put/4096/manual_time_stddev                                0.034 us        0.030 us           50 bytes_per_second=17.0703Mi/s
benchmark_lock_unlock_put/4096/manual_time_cv                                     0.44 %          0.37 %            50 bytes_per_second=0.43%
benchmark_lock_unlock_put/32768/manual_time_mean                                  16.6 us         16.9 us           50 bytes_per_second=14.7256Gi/s
benchmark_lock_unlock_put/32768/manual_time_median                                16.6 us         16.9 us           50 bytes_per_second=14.7328Gi/s
benchmark_lock_unlock_put/32768/manual_time_stddev                               0.059 us        0.059 us           50 bytes_per_second=52.6829Mi/s
benchmark_lock_unlock_put/32768/manual_time_cv                                    0.36 %          0.35 %            50 bytes_per_second=0.35%
benchmark_lock_unlock_put/262144/manual_time_mean                                  101 us          101 us           50 bytes_per_second=19.4163Gi/s
benchmark_lock_unlock_put/262144/manual_time_median                                100 us          101 us           50 bytes_per_second=19.4436Gi/s
benchmark_lock_unlock_put/262144/manual_time_stddev                              0.502 us        0.392 us           50 bytes_per_second=97.2561Mi/s
benchmark_lock_unlock_put/262144/manual_time_cv                                   0.50 %          0.39 %            50 bytes_per_second=0.49%
benchmark_lock_unlock_get/1/manual_time_mean                                      6.40 us         7.69 us           50 bytes_per_second=1.19294Mi/s
benchmark_lock_unlock_get/1/manual_time_median                                    6.39 us         7.68 us           50 bytes_per_second=1.19472Mi/s
benchmark_lock_unlock_get/1/manual_time_stddev                                   0.029 us        0.027 us           50 bytes_per_second=5.49436Ki/s
benchmark_lock_unlock_get/1/manual_time_cv                                        0.45 %          0.35 %            50 bytes_per_second=0.45%
benchmark_lock_unlock_get/8/manual_time_mean                                      6.37 us         7.65 us           50 bytes_per_second=9.58359Mi/s
benchmark_lock_unlock_get/8/manual_time_median                                    6.36 us         7.65 us           50 bytes_per_second=9.59522Mi/s
benchmark_lock_unlock_get/8/manual_time_stddev                                   0.034 us        0.036 us           50 bytes_per_second=52.1477Ki/s
benchmark_lock_unlock_get/8/manual_time_cv                                        0.54 %          0.47 %            50 bytes_per_second=0.53%
benchmark_lock_unlock_get/64/manual_time_mean                                     6.42 us         7.69 us           50 bytes_per_second=76.0944Mi/s
benchmark_lock_unlock_get/64/manual_time_median                                   6.41 us         7.69 us           50 bytes_per_second=76.1582Mi/s
benchmark_lock_unlock_get/64/manual_time_stddev                                  0.040 us        0.028 us           50 bytes_per_second=469.774Ki/s
benchmark_lock_unlock_get/64/manual_time_cv                                       0.62 %          0.37 %            50 bytes_per_second=0.60%
benchmark_lock_unlock_get/512/manual_time_mean                                    6.62 us         7.84 us           50 bytes_per_second=590.129Mi/s
benchmark_lock_unlock_get/512/manual_time_median                                  6.61 us         7.84 us           50 bytes_per_second=590.654Mi/s
benchmark_lock_unlock_get/512/manual_time_stddev                                 0.022 us        0.032 us           50 bytes_per_second=1.95062Mi/s
benchmark_lock_unlock_get/512/manual_time_cv                                      0.33 %          0.41 %            50 bytes_per_second=0.33%
benchmark_lock_unlock_get/4096/manual_time_mean                                   8.05 us         9.21 us           50 bytes_per_second=3.78963Gi/s
benchmark_lock_unlock_get/4096/manual_time_median                                 8.05 us         9.21 us           50 bytes_per_second=3.79296Gi/s
benchmark_lock_unlock_get/4096/manual_time_stddev                                0.030 us        0.030 us           50 bytes_per_second=14.0804Mi/s
benchmark_lock_unlock_get/4096/manual_time_cv                                     0.37 %          0.33 %            50 bytes_per_second=0.36%
